what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.ebay.tools.raptor.server.geronimo,2.2.0.201304060228,"com.ebay.tools.raptor.server.geronimo",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectvalidation,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation",1371446859508
stopped,bundle,com.ebay.tools.raptor.projectvalidation.core,2.1.0.201302010357,"com.ebay.tools.raptor.projectvalidation.core",1371446859508
stopped,bundle,com.ebay.tools.raptor.m2e.connector,2.1.0.201304090722,"com.ebay.tools.raptor.m2e.connector",1371446859508
stopped,bundle,com.ebay.tools.raptor.maven.build,2.1.0.201304090722,"com.ebay.tools.raptor.maven.build",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven.plugins,2.1.0.201304090722,"com.ebay.tools.raptor.maven.plugins",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven.resources,2.1.0.201304090722,"com.ebay.tools.raptor.maven.resources",1371446859509
stopped,bundle,com.ebay.tools.tracking.ride,2.1.0.201304082141,"com.ebay.tools.tracking.ride",1371446859509
stopped,bundle,com.ebay.tools.raptor.maven,2.2.0.201304090722,"com.ebay.tools.raptor.maven",1371446859509
stopped,bundle,com.ebay.tools.raptor.common,2.1.0.201302010357,"com.ebay.tools.raptor.common",1371446859510
stopped,bundle,com.ebay.tools.ssdfinder,2.1.0.201302010357,"com.ebay.tools.ssdfinder",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor.marketplace,2.9.0.201304120519,"com.ebay.tools.soa.raptor.marketplace",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor.others,2.9.0.201304120519,"com.ebay.tools.soa.raptor.others",1371446859510
stopped,bundle,com.ebay.tools.soa.raptor,2.9.0.201304120519,"com.ebay.tools.soa.raptor",1371446859510
stopped,bundle,com.ebay.tools.dede.ui,1.12.1.201209041901,"com.ebay.tools.dede.ui",1371446859510
stopped,bundle,com.ebay.tools.dede,1.12.1.201209041901,"com.ebay.tools.dede",1371446859510
